name,artist,rank,weeks
Knife Talk,Drake,41,13
If I Didn't Love You,Jason Aldean,42,19
Thats What I Want,Lil Nas X,43,11
Happier Than Ever,Billie Eilish,44,18
Better Days,NEIKED X Mae Muller X Polo G,45,7
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers,46,8
Love Nwantiti (Ah Ah Ah),CKay,47,11
Meet Me At Our Spot,THE ANXIETY: WILLOW,48,12
Thinking 'Bout You,Dustin Lynch,49,16
Girls Want Girls,Drake,50,13
My Universe,Coldplay x BTS,51,10
Cold As You,Luke Combs,52,18
Who Want Smoke??,Nardo Wick,53,8
Buy Dirt,Jordan Davis,54,17
Super Gremlin,Kodak Black,55,4
Pepas,Farruko,56,19
You Should Probably Leave,Chris Stapleton,57,22
By Your Side,Rod Wave,58,1
Chosen,Blxst,59,10
Same Boat,Zac Brown Band,60,11
Whiskey And Rain,Michael Ray,61,9
Have Mercy,Chloe,62,12
Wild Side,Normani,63,20
Sand In My Boots,Morgan Wallen,64,20
One Mississippi,Kane Brown,65,10
Knowing You,Kenny Chesney,66,16
My Little Love,Adele,67,2
Family Ties,Baby Keem,68,14
Enemy,Imagine Dragons X JID,69,2
Gyalis,Capella Grey,70,18
Big Energy,Latto,71,6
Sharing Locations,Meek Mill,72,14
No Love,Summer Walker,73,4
Can I Get It,Adele,74,2
Already Dead,Juice WRLD,75,3
I Drink Wine,Adele,76,2
Pick Out A Christmas Tree,Dan + Shay,77,1
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,78,3
Tequila Little Time,Jon Pardi,79,8
Freedom Was A Highway,Jimmie Allen,80,8
Just About Over You,Priscilla Block,81,5
Christmas Tree Farm (Old Timey Version),Taylor Swift,82,1
Bubbly,Young Thug With Drake,83,7
Bad Man (Smooth Criminal),Polo G,84,3
For Tonight,Giveon,85,9
Fair Trade,Drake,86,13
Poke It Out,Wale,87,5
'Til You Can't,Cody Johnson,88,8
Scorpio,Moneybagg Yo,89,2
Woman,Doja Cat,90,18
Memory I Don't Mess With,Lee Brice,91,18
Heart On Fire,Eric Church,92,2
Half Of My Hometown,Kelsea Ballerini,93,5
Moth To A Flame,Swedish House Mafia,94,6
Always Been You,Jessie Murph,95,1
Who's In Your Head,Jonas Brothers,96,6
Baddest,"Yung Bleu, Chris Brown",97,17
Maybach,42 Dugg,98,9
Volvi,Aventura x Bad Bunny,99,17
Ex For A Reason,Summer Walker,100,5
Easy On Me,Adele,1,7
Stay,The Kid LAROI,2,20
Industry Baby,Lil Nas X,3,18
All Too Well (Taylor's Version),Taylor Swift,4,2
Oh My God,Adele,5,1
Shivers,Ed Sheeran,6,11
Heat Waves,Glass Animals,7,45
Bad Habits,Ed Sheeran,8,22
Need To Know,Doja Cat,9,24
Smokin Out The Window,Silk Sonic,10,3
Cold Heart (PNAU Remix),Elton John,11,12
All I Want For Christmas Is You,Mariah Carey,12,46
